"Add worker","Cadastrar funcionário"
"Register worker","Cadastrar funcionário"
"Username","Nome de usuário"
"Complete name","Nome completo"
"Profiles","Perfís"
"admin","administrador"
"seller","vendedor"
"register","cadastrador"
"Locale","Idioma"
"Register","Cadastrar"
"Add client","Cadastrar cliente"
"Register client","Cadastrar cliente"
"Address","Endereço"
"Client","Cliente"
"Add product","Cadastrar produto"
"Register product","Cadastrar produto"
"Name","Nome"
"Amount","Quantidade"
"Price","Preço"
"Product","Produto"
"Add sale","Nova venda"
"Register sale","Cadastrar venda"
"registered","registrado"
"Products","Produtos"
"Include product","Incluir produto"
"Unitary price","Preço unitário"
"Partial price","Preço parcial"
"Actions","Ações"
"Sale terms","Forma de pagamento"
"cash sale","à vista"
"installment sale","a prazo"
"Initial date","Data inicial"
"Times","Vezes"
"Partials","Parcelas"
"Date","Data"
"Sale","Venda"
"Sale term","Forma de pagamento"
"Manage account","Gerenciar conta"
"Password","Senha"
"Confirm password","Confirmação da senha"
"Update","Atualizar"
